RAGIONE_SOCIALE,DESCRIZIONE,CATEGORIA
Gianluigi Rossi,Marca da bollo,Consulenza
Gianluigi Rossi,Contributo INPS,Consulenza
Gianluigi Rossi,Consulenza per redazione manuale HACCP e formazione addetti anno 2024,Consulenza
A2A Energia S.p.A.,E-moving Medium - Data Valuta 24/01/2024 22:50,Energia Elettrica
A2A Energia S.p.A.,E-moving Medium - Data Valuta 28/04/2024 13:55,Energia Elettrica
A2A Energia S.p.A.,E-moving Medium - Data Valuta 24/02/2024 22:50,Energia Elettrica
A2A Energia S.p.A.,E-moving Medium - Data Valuta 24/03/2024 22:50,Energia Elettrica
A2A Energia S.p.A.,"E-moving Medium - Ricarica presso:806 - Via Digione, 9 , 20144 MILANO - Data Valuta 22/04/2024 08:36",Energia Elettrica
A2A Energia S.p.A.,ARROTONDAMENTO,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy giugno 2024  -  Per canone - Competenza *t*DA:01/06/2024 *t*A:30/06/2024,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy aprile 2024  -  Per canone - Competenza *t*DA:01/04/2024 *t*A:30/04/2024,Energia Elettrica
ENEGAN S.P.A,SentiAMOci Easy agosto 2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno novembre 2023  -  Per canone - Competenza *t*DA:01/11/2023 *t*A:30/11/2023,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento luglio 2024  -  Per canone - Competenza *t*DA:01/07/2024 *t*A:31/07/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno marzo 2024  -  Per canone - Competenza *t*DA:01/03/2024 *t*A:31/03/2024,Energia Elettrica
ENEGAN S.P.A,Upgrade FIBRA FTTH 1GB/100M dicembre 2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M novembre 2023  -  Per canone - Competenza *t*DA:01/11/2023 *t*A:30/11/2023,Energia Elettrica
ENEGAN S.P.A,Linee Voip settembre 2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno maggio 2024  -  Per canone - Competenza *t*DA:01/05/2024 *t*A:31/05/2024,Energia Elettrica
ENEGAN S.P.A,Condivisa Insieme Adeguamento ottobre 2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno luglio 2024  -  Per canone - Competenza *t*DA:01/07/2024 *t*A:31/07/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno gennaio 2024  -  Per canone - Competenza *t*DA:01/01/2024 *t*A:31/01/2024,Energia Elettrica
ENEGAN S.P.A,VoipFlat_22A settembre 2024,Energia Elettrica
ENEGAN S.P.A,Condivisa Insieme Adeguamento dicembre 2024,Energia Elettrica
ENEGAN S.P.A,Spesa per la materia energia,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento aprile 2024  -  Per canone - Competenza *t*DA:01/04/2024 *t*A:30/04/2024,Energia Elettrica
ENEGAN S.P.A,POD: IT012E00109641,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M marzo 2024  -  Per canone - Competenza *t*DA:01/03/2024 *t*A:31/03/2024,Energia Elettrica
ENEGAN S.P.A,Imposte,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M febbraio 2024  -  Per canone - Competenza *t*DA:01/02/2024 *t*A:29/02/2024,Energia Elettrica
ENEGAN S.P.A,Upgrade FIBRA FTTH 1GB/100M agosto 2024,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M gennaio 2024  -  Per canone - Competenza *t*DA:01/01/2024 *t*A:31/01/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno febbraio 2024  -  Per canone - Competenza *t*DA:01/02/2024 *t*A:29/02/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno aprile 2024  -  Per canone - Competenza *t*DA:01/04/2024 *t*A:30/04/2024,Energia Elettrica
ENEGAN S.P.A,Traffico Telefonico Numeri Fissi Nazionale Mobile novembre 2024,Energia Elettrica
ENEGAN S.P.A,Rata - RATA n. 24 - Rif. Fattura n. 1241 del 2022-04-15,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy luglio 2024  -  Per canone - Competenza *t*DA:01/07/2024 *t*A:31/07/2024,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M maggio 2024  -  Per canone - Competenza *t*DA:01/05/2024 *t*A:31/05/2024,Energia Elettrica
ENEGAN S.P.A,Condivisa Insieme Adeguamento novembre 2024,Energia Elettrica
ENEGAN S.P.A,SentiAMOci Easy novembre 2024,Energia Elettrica
ENEGAN S.P.A,POD: IT012E00109641 -,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy gennaio 2024  -  Per canone - Competenza *t*DA:01/01/2024 *t*A:31/01/2024,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy maggio 2024  -  Per canone - Competenza *t*DA:01/05/2024 *t*A:31/05/2024,Energia Elettrica
ENEGAN S.P.A,SentiAMOci Easy settembre 2024,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M giugno 2024  -  Per canone - Competenza *t*DA:01/06/2024 *t*A:30/06/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno febbraio 2024  -  Per canone - Competenza *t*DA:01/02/2024 *t*A:29/02/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno luglio 2024  -  Per canone - Competenza *t*DA:01/07/2024 *t*A:31/07/2024,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento giugno 2024  -  Per canone - Competenza *t*DA:01/06/2024 *t*A:30/06/2024,Energia Elettrica
ENEGAN S.P.A,Condivisa Insieme Adeguamento settembre 2024,Energia Elettrica
ENEGAN S.P.A,Traffico Telefonico Numeri Fissi Nazionale Locale ottobre 2024,Energia Elettrica
ENEGAN S.P.A,VoipFlat_22A novembre 2024,Energia Elettrica
ENEGAN S.P.A,Linee Voip agosto 2024,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento febbraio 2024  -  Per canone - Competenza *t*DA:01/02/2024 *t*A:29/02/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno giugno 2024  -  Per canone - Competenza *t*DA:01/06/2024 *t*A:30/06/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno gennaio 2024  -  Per canone - Competenza *t*DA:01/01/2024 *t*A:31/01/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy novembre 2023  -  Per canone - Competenza *t*DA:01/11/2023 *t*A:30/11/2023,Energia Elettrica
ENEGAN S.P.A,Altre partite,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno maggio 2024  -  Per canone - Competenza *t*DA:01/05/2024 *t*A:31/05/2024,Energia Elettrica
ENEGAN S.P.A,Upgrade FIBRA FTTH 1GB/100M settembre 2024,Energia Elettrica
ENEGAN S.P.A,SentiAMOci Easy ottobre 2024,Energia Elettrica
ENEGAN S.P.A,Linee Voip novembre 2024,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,Energia Elettrica
ENEGAN S.P.A,Spesa per il trasporto e la gestione del contatore,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - Condivisa Insieme Storno novembre 2023  -  Per canone - Competenza *t*DA:01/11/2023 *t*A:30/11/2023,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy marzo 2024  -  Per canone - Competenza *t*DA:01/03/2024 *t*A:31/03/2024,Energia Elettrica
ENEGAN S.P.A,Upgrade FIBRA FTTH 1GB/100M novembre 2024,Energia Elettrica
ENEGAN S.P.A,Linee Voip ottobre 2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno marzo 2024  -  Per canone - Competenza *t*DA:01/03/2024 *t*A:31/03/2024,Energia Elettrica
ENEGAN S.P.A,Rata - RATA n. 23 - Rif. Fattura n. 1241 del 2022-04-15,Energia Elettrica
ENEGAN S.P.A,router Vdsl fritz 7530,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento maggio 2024  -  Per canone - Competenza *t*DA:01/05/2024 *t*A:31/05/2024,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,Energia Elettrica
ENEGAN S.P.A,Spesa per gli oneri di sistema,Energia Elettrica
ENEGAN S.P.A,VoipFlat_22A agosto 2024,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento marzo 2024  -  Per canone - Competenza *t*DA:01/03/2024 *t*A:31/03/2024,Energia Elettrica
ENEGAN S.P.A,Canone - SentiAMOci Easy febbraio 2024  -  Per canone - Competenza *t*DA:01/02/2024 *t*A:29/02/2024,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M luglio 2024  -  Per canone - Competenza *t*DA:01/07/2024 *t*A:31/07/2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno aprile 2024  -  Per canone - Competenza *t*DA:01/04/2024 *t*A:30/04/2024,Energia Elettrica
ENEGAN S.P.A,SentiAMOci Easy dicembre 2024,Energia Elettrica
ENEGAN S.P.A,Traffico Telefonico Numeri Fissi Nazionale Mobile ottobre 2024,Energia Elettrica
ENEGAN S.P.A,Traffico Telefonico Numeri Fissi Nazionale Locale novembre 2024,Energia Elettrica
ENEGAN S.P.A,Upgrade FIBRA FTTH 1GB/100M ottobre 2024,Energia Elettrica
ENEGAN S.P.A,Rata,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento novembre 2023  -  Per canone - Competenza *t*DA:01/11/2023 *t*A:30/11/2023,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,Energia Elettrica
ENEGAN S.P.A,Condivisa Insieme Adeguamento agosto 2024,Energia Elettrica
ENEGAN S.P.A,Canone (6305) - Upgrade FIBRA FTTH 1GB/100M aprile 2024  -  Per canone - Competenza *t*DA:01/04/2024 *t*A:30/04/2024,Energia Elettrica
ENEGAN S.P.A,VoipFlat_22A ottobre 2024,Energia Elettrica
ENEGAN S.P.A,Canone (sconto su canone) - SentiAMOci Easy storno giugno 2024  -  Per canone - Competenza *t*DA:01/06/2024 *t*A:30/06/2024,Energia Elettrica
ENEGAN S.P.A,Canone - Condivisa Insieme Adeguamento gennaio 2024  -  Per canone - Competenza *t*DA:01/01/2024 *t*A:31/01/2024,Energia Elettrica
Repower Vendita Italia,Servizi di Vendita,Energia Elettrica
Repower Vendita Italia,Oneri di sistema,Energia Elettrica
Repower Vendita Italia,Imposte,Energia Elettrica
Repower Vendita Italia,Trasporto e gestione del contatore,Energia Elettrica
ALDI SRL,Purè fresco 420g,Food
ALDI SRL,Cetrioli 670g,Food
ALDI SRL,Noci di Pecan 200g,Food
ALDI SRL,Vel zuc carot 620g,Food
ALDI SRL,Chili con/sin carn,Food
ALDI SRL,Brioche Bagel 300g,Food
ALDI SRL,Borsa di carta,Food
ALDI SRL,Castagne cotte,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,DDT NR. BO2 451 DEL 05-02-2024,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,"Extravergine ""MATERIA PRIMA"" - 4 lattine - L 5,00",Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,CAPONATA DI MELANZANE x 4 VASI,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,VS.ORD. mail del 19-11-2024 (OC   5183    19-11-2024),Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,"Caponata di ""MELANZANE"" - 4 vasi - gr. 260",Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,Prodotto italiano - Estratto a freddo,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,EXTRAV. MATERIA PRIMA L 1 x 6 BOTT.,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,Prodotto Italiano - Estratto a freddo - Tappo Antirabbocco,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,VS.ORD. mail del 28-02-2024 (OC    778    28-02-2024),Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,DDT NR. BO2 769 DEL 28-02-2024,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,VS.ORD. mail del 25-01-2024 (OC    314    26-01-2024),Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,"Extravergine ""MATERIA PRIMA"" - 6 btt - L 0,50",Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,"Olive intere in salamoia secchiello da 3,50 kg",Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,"Olive in Salamoia ""INTERE"" - 1 secchiello - Kg 3,50",Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,VS.ORD. mail del 02-02-2024 (OC    440    05-02-2024),Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,"Olio Extra Vergine di Oliva Materia Prima, 500 ml, scatola 6 bottiglie",Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,DDT NR. BO2 5102 DEL 19-11-2024,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,"Salsa pronta con Pomodoro Siccagno, vaso piccolo",Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,DDT NR. BO2 325 DEL 29-01-2024,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,Prodotto Italiano - Estratto a freddo,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,Riga ausiliaria contenente informazioni tecniche e aggiuntive del documento,Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,VS.ORD. mail del 20-05-2024 (OC   2081    20-05-2024),Food
AZIENDA AGRICOLA COPPINI ARTE OLEARIA S.R.L.,DDT NR. BO2 2044 DEL 20-05-2024,Food
BAGUETTE S.R.L.,RIEPILOGO MENSILE,Food
CAMMISCIA SRL,ZUCCHERO GREZ ITAL100,Food
CAMMISCIA SRL,CREMINI NOCCIOLE IGP BUSTA TDI,Food
CAMMISCIA SRL,MIX FASHION DONUTS RMM,Food
CAMMISCIA SRL,LIME GR300 IL MERCATO,Food
CAMMISCIA SRL,ANACARDI NATURALI GR40,Food
CAMMISCIA SRL,0 99 NOCCIOLE TOSTATE ITA GR25,Food
CAMMISCIA SRL,CRF GLOBO SME 75W E27 WARM,Food
CAMMISCIA SRL,SHOPPER EXPRESS COMPOST CRF,Food
CAMMISCIA SRL,SALE FINO SIMPL,Food
CAMMISCIA SRL,Panetteria/Pasticcer,Food
CAMMISCIA SRL,AROMI MISTI T V  GR50,Food
CAMMISCIA SRL,MANDORLE SGUSCIATE G30 CRF BIO,Food
CAMMISCIA SRL,KINLEY TONIC WAT NEW FOR PET1L,Food
CAMMISCIA SRL,RINGO SANDWICH VANIGLIA,Food
CAMMISCIA SRL,Ortofrutta,Food
CAMMISCIA SRL,STINCO ALPINO GOURMET,Food
CAMMISCIA SRL,FARINATA DI CECI GENOVESE TDI,Food
CAMMISCIA SRL,INS ICEBERG GR 350 AL PZ,Food
CAMMISCIA SRL,SALMONE NORVEGESE CRF 50GR,Food
CAMMISCIA SRL,LATTE CLAM AQ 1 LT,Food
CAMMISCIA SRL,SGR IGIEN TEA TREE CITROSIL,Food
CAMMISCIA SRL,VELINE X150 SIMPL,Food
CAMMISCIA SRL,MORE GR 125,Food
CAMMISCIA SRL,KINDERINI KINDER G250,Food
CAMMISCIA SRL,SOTTILETTE CLASS GR400,Food
CAMMISCIA SRL,FILET SGOMBRO NAT,Food
CAMMISCIA SRL,SACC RD GIALLI 10PZ 70X110 CRF,Food
CAMMISCIA SRL,SACC RD TRASP 10PZ 70X110 CRF,Food
CAMMISCIA SRL,MENTA VASO,Food
CAMMISCIA SRL,ROSMARINO,Food
CAMMISCIA SRL,PESTO LIGURIA BASIL GENOV TDI,Food
CAMMISCIA SRL,CARCIOFI ROMANA TDI,Food
CAMMISCIA SRL,DEO AMB AEROSOL LAVANDA CRF,Food
CAMMISCIA SRL,MASCARPONE CRF GR 250,Food
CAMMISCIA SRL,CROSTINI INTEGRALI CRF 200 GR,Food
CAMMISCIA SRL,PANDORO CLASSICO BALOCCO,Food
CAMMISCIA SRL,SPUGNA DOPPIOUSO SPONTEX 2 PZ,Food
CAMMISCIA SRL,CEROTTI ASS TRASP CON GARZA,Food
CAMMISCIA SRL,MIRTILLI GR125 IL MERCATO,Food
CAMMISCIA SRL,PANE ART. BIANCO,Food
CAMMISCIA SRL,STELLA DI NATALE V16,Food
CAMMISCIA SRL,Gastronomia,Food
CAMMISCIA SRL,GHIOTTOFRESCHI OSELLA,Food
CAMMISCIA SRL,SHOPPER CARTA CRF,Food
CAMMISCIA SRL,PANNA CHEF UHT 125X3,Food
CAMMISCIA SRL,LAMPONI GR 125,Food
CAMMISCIA SRL,RISO ORIGINARIO CRF SIMPL,Food
CAMMISCIA SRL,VAPE 10 SPIRALI PROFUM ASSORT,Food
CAMMISCIA SRL,POMPELMI ROSSI X 3 PREZZATI,Food
CAMMISCIA SRL,POMOD  MIX COLORATI GR300,Food
CAMMISCIA SRL,RUCOLA SELVATICA T V GR 100,Food
CAMMISCIA SRL,MORE GR125 IL MERCATO,Food
CAMMISCIA SRL,NOVIBLOC FONDENTE EXTRA,Food
CAMMISCIA SRL,POMOD TONDO INSAL CONF GR800,Food
CAMMISCIA SRL,BASILICO VASI,Food
CAMMISCIA SRL,DET MULTIUSO TRIGGER WINNI S,Food
CAMMISCIA SRL,BORLOTTI CRF X3  MONODOSE,Food
CAMMISCIA SRL,BARBABIETOLE COTTE S V GR400,Food
CAMMISCIA SRL,RAVANELLI SNACK GR200,Food
CAMMISCIA SRL,PECORINO ROMANO DOP CRF,Food
CAMMISCIA SRL,GIN MALFY ROSA,Food
CAMMISCIA SRL,MENTA T V GR 20,Food
CAMMISCIA SRL,ZUPPA PRONTA PASSATO T V G620,Food
CAMMISCIA SRL,CRF CARTA FORNO 15M,Food
CAMMISCIA SRL,CAPRINO DELLA LOMBARDIA TDI,Food
CAMMISCIA SRL,SPRAY STRISCIANTI CRF,Food
CAMMISCIA SRL,FILET SGOMBRO O O,Food
CAMMISCIA SRL,PAVIM  LAVANDA FABULOSO,Food
CAMMISCIA SRL,TOV 2V 40PZ 38X38  BIA CRF,Food
CAMMISCIA SRL,ZUCCHERO KG1 CRF,Food
CAMMISCIA SRL,LINGUE DI GATTO,Food
CAMMISCIA SRL,TORRONE TENERO CIOCC BIANCO,Food
CAMMISCIA SRL,BRIE PUNTA CRF,Food
CAMMISCIA SRL,RICOTTINE X2 CRF,Food
CAMMISCIA SRL,PANNO MICROFIBRA 5PZ 30X30 CRF,Food
CAMMISCIA SRL,GUANCIALE TRANCIO 250 GR,Food
CAMMISCIA SRL,OLIO EXTRAVERGINE LT 1 CRF,Food
CAMMISCIA SRL,MIRTILLI GR 125,Food
CAMMISCIA SRL,SALE MARINO INTEGR GROS,Food
CAMMISCIA SRL,COTECHINO CASA MODENA SCATOLA,Food
CAMMISCIA SRL,SALSA BARBEQUE TOPDOWN CALVE,Food
CAMMISCIA SRL,PARMIG REG DOP 24 MESI CRF,Food
CAMMISCIA SRL,SOTTILETTE BURGER CON CHEDDAR,Food
CAMMISCIA SRL,MANDORLE PEL GR250 IL MERCATO,Food
CAMMISCIA SRL,CEROTTI EL.MANI E DITA X15,Food
CAMMISCIA SRL,BICARBONATO SOLVAY BARATT,Food
CAMMISCIA SRL,CROSTATA FRUTT BOSC IL MERCATO,Food
CAMMISCIA SRL,Peperoni Grigliati,Food
CAMMISCIA SRL,TONNO AL NATURALE X2 CARREFOUR,Food
CAMMISCIA SRL,SALMONE AFF NORVEGESE CRF BIO,Food
CAMMISCIA SRL,ASCIUGATUTTO 100STR X4 SIMPL,Food
CAMMISCIA SRL,QUASAR VETRI TRIGGER,Food
CAMMISCIA SRL,MELONE RETATO GR930,Food
CAMMISCIA SRL,PECORINO TERRE DI CHIETI IGT,Food
CAMMISCIA SRL,ZUCCHERO A VELO CRF 125 GR,Food
CAMMISCIA SRL,TAV EXCELLENCE 78,Food
CAMMISCIA SRL,PAN CARRE  MULINO BIANCO,Food
CAMMISCIA SRL,INS MISTA CROCCANTE T V GR 180,Food
CAMMISCIA SRL,MINITOPPING CARAMELLO FABBRI,Food
CAMMISCIA SRL,GIN GORDON S CL70,Food
CAMMISCIA SRL,POMOD  CILIEGINO GR 500,Food
CAMMISCIA SRL,INS GRAN MIX T V  GR100,Food
CAMMISCIA SRL,CF 3 ACCENDINI BIC MINI CR J25,Food
CAMMISCIA SRL,FICHI FRESCHI GR 500,Food
CAMMISCIA SRL,BIRRA NASTRO AZZURR BT CL 33X3,Food
CAMMISCIA SRL,ELET  COMPL  LIQ  PROT    RAID,Food
CAMMISCIA SRL,CANESTRELLI LA SASSELLESE,Food
CAMMISCIA SRL,MELONE MANTOVANO PREZ  IGP TDI,Food
CAMMISCIA SRL,PURE  DI PATATE GR420 CRF,Food
CAMMISCIA SRL,LIMONI GR 750 FQC,Food
CAMMISCIA SRL,WC NET DISINCROSTANTE,Food
CAMMISCIA SRL,TAVOLET EXCELLENCE NOIR ORANGE,Food
CAMMISCIA SRL,BOMBAY SAPPHIRE GIN CL70,Food
CAMMISCIA SRL,Drogheria,Food
CAMMISCIA SRL,CAVOLI BIANCHI CONF GR 150,Food
CAMMISCIA SRL,PANE TIPO FRANCESINO CONF,Food
CAMMISCIA SRL,SALM ISLANDESE CRF SELECTION,Food
CAMMISCIA SRL,SHOPPER BIO BUGS BUNNY,Food
CAMMISCIA SRL,AJAX PAVIMENTI CLASSICO 950 ML,Food
CAMMISCIA SRL,MANDORLE SGUSCIATE KG1,Food
CAMMISCIA SRL,GLADE ASSORBIODORI LAVANDA,Food
CAMMISCIA SRL,FETTINE CHEDDAR CRF,Food
CAMMISCIA SRL,SPALMABILE NUVOLA SANTA LUCIA,Food
CAMMISCIA SRL,LYSOFORM PAVIMENTI CLASSICO,Food
CAMMISCIA SRL,DET PIATTI ULT C LIMONE CRF,Food
CAMMISCIA SRL,LIMONI GR 750,Food
CAMMISCIA SRL,MUFFIN NUTELLA X2 GR 172,Food
CAMMISCIA SRL,POMOD  TONDO SUGO GR800,Food
CAMMISCIA SRL,ACQUA OSSIGENATA 12 V,Food
CAMMISCIA SRL,FOCACCIA LIGURIA C FORM TDI,Food
CAMMISCIA SRL,FIL ALICI OO TESE MSC GR90,Food
CAMMISCIA SRL,TORCETTI DELLA SERRA TDI,Food
CAMMISCIA SRL,BURRO SENZA LATTOSIO CRF,Food
CAMMISCIA SRL,BASILICO T V  GR30,Food
CAMMISCIA SRL,UOVA MED FRESCH A TERRA X6 CRF,Food
CAMMISCIA SRL,AMERICAN SANDWICH MORATO GR550,Food
CAMMISCIA SRL,SAP LIQ EROGATORE IDRATANTE NR,Food
CAMMISCIA SRL,POMOD  DATTERINO GR300 FQC,Food
CAMMISCIA SRL,LATTE CLAM PS 1 LT,Food
CAMMISCIA SRL,BIRRA NASTRO AZZURRA ZERO 33X3,Food
CAMMISCIA SRL,LATTE UHT INT  1 LT CARREFOUR,Food
CAMMISCIA SRL,PASTIERINA NAPOLETANA GR 100,Food
CAMMISCIA SRL,SONGINO T V GR 100,Food
CAMMISCIA SRL,MACINE MULINO BIANCO GR 350,Food
CAMMISCIA SRL,LIMONI GR500 CRF BIO,Food
CAMMISCIA SRL,LIMONI GR 750 IL MERCATO,Food
CAMMISCIA SRL,FORMAGGIO SPALMABILE CRF,Food
CAMMISCIA SRL,LAMPONI GR125 IL MERCATO,Food
CAMMISCIA SRL,FANTA PET LT 1 5,Food
CAMMISCIA SRL,NUTELLA 220 GR,Food
CAMMISCIA SRL,FOCACCIA PIZZATA TDI,Food
CAMMISCIA SRL,POMOD  DATTERINO GR250 SIMPL,Food
CAMMISCIA SRL,SGOMBRI GRIGL RIOMARE,Food
ERRE ITALIA SRL UNIPERSONALE,D.d.T. N. A/   1493 10.04.2024,Food
ERRE ITALIA SRL UNIPERSONALE,CULACCIA A META' SV - MARCHIO ESCLUSIVO REGISTRATO,Food
ERRE ITALIA SRL UNIPERSONALE,SALAM.STROLGHINO STAG.PELAT.SV,Food
ERRE ITALIA SRL UNIPERSONALE,.,Food
ERRE ITALIA SRL UNIPERSONALE,02-84345136,Food
ERRE ITALIA SRL UNIPERSONALE,ORARIO SCARICO 8:30- 12:30 TEL,Food
ERRE ITALIA SRL UNIPERSONALE,D.d.T. N. A/    280 23.01.2024,Food
ERRE ITALIA SRL UNIPERSONALE,D.d.T. N. A/    686 19.02.2024,Food
ERRE ITALIA SRL UNIPERSONALE,FIOCCO DI PROSCIUTTO ARROSTO,Food
ERRE ITALIA SRL UNIPERSONALE,D.d.T. N. A/   3744 13.09.2024,Food
ERRE ITALIA SRL UNIPERSONALE,COPPA STAG.CLASS.PARMA A META' SV IGP,Food
ERRE ITALIA SRL UNIPERSONALE,D.d.T. N. A/   2571 17.06.2024,Food
ERRE ITALIA SRL UNIPERSONALE,D.d.T. N. A/   4466 28.10.2024,Food
ERRE ITALIA SRL UNIPERSONALE,CONTRIBUTO AMBIENTALE CONAI ASSOLTO,Food
Esselunga S.p.A.   ,NET. PIATTE ONDINE-GR  500,Food
Esselunga S.p.A.   ,POLPO COTTO A VAPORE-KG    1,Food
Esselunga S.p.A.   ,RASPADURA-GR  150,Food
Esselunga S.p.A.   ,GRANCEREALE BARILLA-GR  500,Food
Esselunga S.p.A.   ,SPIANATA PICCANTE AFF-GR   90,Food
Esselunga S.p.A.   ,SALE ROSA HIMALAYA-GR   95,Food
Esselunga S.p.A.   ,PURE' DI PATATE ESS-GR  470,Food
Esselunga S.p.A.   ,MENTA-GR   30,Food
Esselunga S.p.A.   ,PEPE NERO E CURCUMA-GR   50,Food
Esselunga S.p.A.   ,PORTAPOSATE ACCIAIO-UN    1,Food
Esselunga S.p.A.   ,TEQUILA SILVER CUERVO-CL   70,Food
Esselunga S.p.A.   ,POLENTA-KG    1,Food
Esselunga S.p.A.   ,BURRO ESSELUNGA 125G-GR  125,Food
Esselunga S.p.A.   ,ZUCCA COTTA ESS-GR  250,Food
Esselunga S.p.A.   ,PIEM.BURGER CLASS.-GR  250,Food
Esselunga S.p.A.   ,SFILATINO GRANO DURO-KG    1,Food
Esselunga S.p.A.   ,PESCHE BIANCHE-KG    1,Food
